STREAM TIMESTAMP                                 ARG_0      ARG_1
0      [ts:         0] Message from CustomLogic: 0xAAAAAAAA 0x00000000
0      [ts:         8] Message from CustomLogic: 0xBBBBBBBB 0x00000000
